timestamp,ticker,action,quantity,exchange,price,commission
2019-05-02 00:00:00,VOO,SLD,50,ARCA,267.51,1.0
2019-05-02 00:00:00,UPRO,BOT,242,ARCA,53.53,1.21
2019-05-03 00:00:00,VOO,BOT,50,ARCA,270.05,1.0
2019-05-03 00:00:00,UPRO,SLD,242,ARCA,55.04,1.21
2019-05-07 00:00:00,VOO,SLD,50,ARCA,264.62,1.0
2019-05-07 00:00:00,UPRO,BOT,248,ARCA,51.67,1.24
2019-05-08 00:00:00,VOO,BOT,50,ARCA,264.1,1.0
2019-05-08 00:00:00,UPRO,SLD,248,ARCA,51.43,1.24
2019-05-13 00:00:00,VOO,SLD,50,ARCA,258.03,1.0
2019-05-13 00:00:00,UPRO,BOT,261,ARCA,47.81,1.305
2019-05-14 00:00:00,VOO,BOT,50,ARCA,260.27,1.0
2019-05-14 00:00:00,UPRO,SLD,261,ARCA,49.01,1.305
2019-06-04 00:00:00,VOO,BOT,50,ARCA,257.67,1.0
2019-06-04 00:00:00,UPRO,SLD,265,ARCA,47.21,1.325
2019-06-10 00:00:00,VOO,SLD,50,ARCA,265.39,1.0
2019-06-10 00:00:00,UPRO,BOT,265,ARCA,51.51,1.325
2019-08-05 00:00:00,VOO,SLD,50,ARCA,260.88,1.0
2019-08-05 00:00:00,UPRO,BOT,259,ARCA,48.83,1.295
2019-08-06 00:00:00,VOO,BOT,50,ARCA,264.24,1.0
2019-08-06 00:00:00,UPRO,SLD,259,ARCA,50.7,1.295
2019-08-08 00:00:00,VOO,BOT,50,ARCA,269.58,1.0
2019-08-08 00:00:00,UPRO,SLD,244,ARCA,53.73,1.22
2019-08-09 00:00:00,VOO,SLD,50,ARCA,267.7,1.0
2019-08-09 00:00:00,UPRO,BOT,244,ARCA,52.63,1.22
2019-08-14 00:00:00,VOO,SLD,50,ARCA,260.57,1.0
2019-08-14 00:00:00,UPRO,BOT,261,ARCA,48.38,1.305
2019-08-15 00:00:00,VOO,BOT,50,ARCA,261.39,1.0
