Date,Open,High,Low,Close,Adj Close,Volume
2011-04-29,124.500000,124.879997,124.419998,124.800003,102.716225,99000
2011-05-02,125.440002,125.440002,124.320000,124.519997,102.485741,131000
2011-05-03,124.360001,124.519997,123.500000,124.120003,102.156532,66500
2011-05-04,124.099998,124.099998,122.779999,123.279999,101.465179,107000
2011-05-05,122.620003,123.360001,121.639999,122.199997,100.576294,98950
2011-05-06,123.480003,124.000000,122.279999,122.779999,101.053642,138550
2011-05-09,122.800003,123.580002,122.580002,123.279999,101.465179,66000
2011-05-10,123.660004,124.480003,123.519997,124.300003,102.304672,175550
2011-05-11,124.120003,124.120003,122.419998,122.980003,101.218254,174400
2011-05-12,122.680000,123.739998,122.019997,123.639999,101.761497,113500
2011-05-13,123.620003,123.699997,122.199997,122.559998,100.872589,126400
2011-05-16,122.199997,123.019997,121.620003,121.800003,100.247063,113500
2011-05-17,121.360001,121.860001,120.919998,121.779999,100.230598,142400
2011-05-18,121.900002,122.980003,121.680000,122.919998,101.168892,70550
2011-05-19,123.339996,123.459999,122.639999,123.080002,101.300568,266650
2011-05-20,122.860001,123.000000,122.000000,122.260002,100.625671,95450
2011-05-23,120.699997,121.160004,120.400002,120.800003,99.424026,136200
2011-05-24,121.160004,121.360001,120.519997,120.699997,99.341690,89650
2011-05-25,120.160004,121.500000,120.160004,121.099998,99.670937,62300
2011-05-26,120.779999,121.800003,120.540001,121.580002,100.066025,60450
2011-05-27,121.980003,122.400002,121.860001,122.120003,100.510429,47600
2011-05-31,123.300003,123.360001,122.419998,123.339996,101.514557,172500
2011-06-01,123.040001,123.040001,120.540001,120.599998,99.259415,222000
2011-06-02,120.699997,120.919998,119.820000,120.459999,99.144203,211800
2011-06-03,119.000000,120.180000,119.000000,119.300003,98.189461,148450
2011-06-06,119.059998,119.180000,117.940002,118.040001,97.152428,113250
2011-06-07,118.519997,118.940002,117.860001,117.879997,97.020706,203700
2011-06-08,117.699997,118.080002,117.260002,117.400002,96.625671,87600
2011-06-09,117.779999,118.779999,117.459999,118.300003,97.366409,43350
2011-06-10,117.839996,117.860001,116.400002,116.639999,96.000160,106750
2011-06-13,116.900002,117.220001,116.180000,116.720001,96.065979,77900
2011-06-14,117.820000,118.660004,117.820000,118.220001,97.300568,75400
2011-06-15,117.279999,117.559998,115.900002,116.160004,95.605095,79700
2011-06-16,116.199997,116.900002,115.540001,116.379997,95.786133,66050
2011-06-17,117.480003,117.500000,116.379997,116.699997,96.049538,58800
2011-06-20,116.339996,117.559998,116.320000,117.360001,96.592743,53700
2011-06-21,117.940002,119.160004,117.839996,118.959999,97.909622,132450
2011-06-22,118.660004,119.260002,118.199997,118.260002,97.333473,106050
2011-06-23,116.839996,117.900002,116.000000,117.860001,97.004250,260750
2011-06-24,117.320000,117.360001,115.800003,116.000000,95.937393,114500
2011-06-27,116.080002,117.419998,115.820000,116.980003,96.747879,77850
2011-06-28,117.480003,118.519997,117.360001,118.480003,97.988441,59500
2011-06-29,119.099998,119.699997,118.660004,119.540001,98.865112,125350
2011-06-30,119.940002,120.839996,119.820000,120.680000,99.807953,124850
2011-07-01,120.739998,122.599998,120.540001,122.500000,101.313164,139550
2011-07-05,122.400002,122.599998,122.000000,122.300003,101.147766,91850
2011-07-06,122.080002,122.639999,121.760002,122.480003,101.296654,94850
2011-07-07,123.580002,124.099998,123.379997,123.820000,102.404884,195400
2011-07-08,122.400002,122.980003,122.019997,122.980003,101.710167,105600
2011-07-11,121.440002,121.839996,120.440002,120.699997,99.824501,92750
2011-07-12,120.459999,121.419998,120.160004,120.160004,99.377892,132400
2011-07-13,120.820000,121.820000,120.320000,120.580002,99.725258,129700
2011-07-14,120.919998,121.379997,119.519997,119.800003,99.080170,55900
2011-07-15,120.459999,120.580002,119.639999,120.459999,99.625992,40350
2011-07-18,119.940002,120.019997,118.559998,119.440002,98.782425,94000
2011-07-19,120.139999,121.480003,120.080002,121.379997,100.386879,233300
2011-07-20,121.760002,121.779999,121.160004,121.379997,100.386879,90750
2011-07-21,122.000000,123.239998,121.779999,123.000000,101.726692,234250
2011-07-22,123.000000,123.199997,122.400002,123.099998,101.809418,90250
2011-07-25,121.879997,123.000000,121.800003,122.400002,101.230469,183650
2011-07-26,122.320000,122.500000,121.680000,121.879997,100.800400,138850
2011-07-27,121.199997,121.239998,119.300003,119.459999,98.798958,470300
2011-07-28,119.419998,120.480003,118.959999,119.120003,98.517761,169150
2011-07-29,117.959999,119.360001,117.440002,118.199997,97.756859,194600
2011-08-01,119.779999,119.820000,116.680000,117.779999,97.409515,435950
2011-08-02,116.959999,117.500000,114.779999,114.839996,94.977997,258400
2011-08-03,114.959999,115.540001,112.980003,115.419998,95.457687,380550
2011-08-04,113.879997,113.959999,109.839996,110.019997,90.991653,504200
2011-08-05,111.379997,111.660004,106.940002,109.779999,90.793144,538450
2011-08-08,106.019997,108.239998,102.540001,102.739998,84.970734,790300
2011-08-09,104.400002,107.400002,100.919998,107.339996,88.775139,579800
2011-08-10,105.459999,106.300003,102.480003,102.680000,84.921104,403100
2011-08-11,103.720001,108.699997,103.260002,107.180000,88.642838,919300
2011-08-12,108.480003,109.000000,107.320000,108.040001,89.354080,307200
2011-08-15,109.099998,110.400002,108.860001,110.260002,91.190132,225950
2011-08-16,109.220001,110.360001,108.239998,109.320000,90.412727,263800
2011-08-17,110.000000,110.800003,108.599998,109.440002,90.511955,160550
2011-08-18,106.580002,106.699997,103.739998,104.900002,86.757156,524000
2011-08-19,103.360001,105.820000,102.839996,102.900002,85.103088,1438400
2011-08-22,105.320000,105.379997,102.779999,102.980003,85.169243,246400
2011-08-23,103.519997,106.580002,103.000000,106.540001,88.113525,301950
2011-08-24,106.320000,108.080002,106.059998,108.000000,89.321014,151000
2011-08-25,108.720001,109.180000,105.620003,106.379997,87.981194,294150
2011-08-26,105.660004,108.279999,104.019997,107.779999,89.139053,197500
2011-08-29,109.339996,110.959999,109.239998,110.919998,91.735977,159000
2011-08-30,110.500000,111.919998,109.660004,111.120003,91.901390,129900
2011-08-31,111.980003,112.900002,110.919998,111.680000,92.364517,214950
2011-09-01,111.739998,112.800003,110.540001,110.599998,91.471329,274900
2011-09-02,108.320000,108.839996,107.400002,107.739998,89.105965,150350
2011-09-06,104.720001,107.139999,104.639999,107.000000,88.493950,197950
2011-09-07,108.720001,110.040001,108.300003,110.019997,90.991653,199700
2011-09-08,109.339996,110.580002,108.680000,108.860001,90.032272,115650
2011-09-09,107.660004,107.940002,105.440002,106.000000,87.666893,174200
2011-09-12,104.699997,106.760002,104.360001,106.760002,88.295479,161350
2011-09-13,107.099998,108.059998,106.379997,107.639999,89.023277,193500
2011-09-14,108.260002,110.459999,106.760002,109.160004,90.280380,459000
2011-09-15,110.339996,111.099998,109.419998,111.040001,91.835228,128700
2011-09-16,111.440002,112.059998,110.699997,111.699997,92.381081,79000
2011-09-19,109.860001,111.099998,109.180000,110.660004,91.520966,82150
2011-09-20,111.120003,112.139999,110.440002,110.480003,91.372086,154550
2011-09-21,110.599998,110.860001,107.139999,107.139999,88.609711,139000
2011-09-22,104.199997,105.000000,102.379997,103.779999,85.830872,420500
2011-09-23,102.599998,104.320000,102.459999,103.680000,86.230095,329200
2011-09-26,104.720001,106.339996,103.320000,106.199997,88.325951,193850
2011-09-27,108.440002,109.279999,106.860001,107.419998,89.340614,617550
2011-09-28,107.699997,108.239998,105.080002,105.279999,87.560799,197300
2011-09-29,107.059998,107.459999,104.160004,106.040001,88.192894,119300
2011-09-30,104.559998,105.480003,103.379997,103.519997,86.097031,183300
2011-10-03,102.820000,104.080002,100.339996,100.339996,83.452225,333100
2011-10-04,99.139999,102.820000,98.239998,102.540001,85.281952,285650
2011-10-05,102.879997,104.820000,102.000000,104.580002,86.978600,281000
2011-10-06,104.519997,106.620003,103.760002,106.599998,88.658653,583800
2011-10-07,107.160004,107.160004,105.180000,105.779999,87.976639,627150
